"110 CÂU HỎI TRẮC NGHIỆM NGHIỆP VỤ ĐẤU THẦU NĂM 2025 
(Áp dụng cho kỳ thi sát hạch nghiệp vụ)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
A,d,"Nhà thầu không tiến hành hoặc từ chối thương thảo hợp đồng (nếu có) trong thời hạn 05 ngày làm việc đối với đấu thầu trong nước và 10 ngày đối với đấu thầu quốc tế kể từ ngày nhân được thông báo mời thương thảo hợp đồng hoặc đã thương thảo hợp đồng nhưng từ chối hoàn thiện, ký kết biên bản hợp đồng, trừ trường hợp bất khả kháng",,,,,
A,e,Tất cả các trường hợp trên,X,,"K9 Điều 14 Luật Đấu thầu 2023, sửa đổi bổ sung theo Luật 90",,
Q,7,Các trường hợp hủy thầu bao gồm:,,,,Dung,Hiệu chỉnh đáp án
A,a,"Tất cả hồ sơ quan tâm, hồ sơ dự sơ tuyển, hồ sơ dự thầu, hồ sơ đề xuất không đáp ứng được các yêu cầu của hồ sơ mời quan tâm, hồ sơ mời sơ tuyển, hồ sơ mời thầu, hồ sơ yêu cầu",,,,,
A,b,"Thay đổi về mục tiêu, phạm vi đầu tư trong quyết định đầu tư đã được phê duyệt đối với dự án hoặc thay đổi về mục tiêu, phạm vi mua sắm đối với dự toán mua sắm do sắp xếp đơn vị hành chính, tổ chức bộ máy nhà nước và các trường hợp bất khả kháng khác làm thay đổi khối lượng công việc, tiêu chuẩn đánh giá đã ghi trong hồ sơ mời quan tâm, hồ sơ mời sơ tuyển, hồ sơ mời thầu, hồ sơ yêu cầu",,,,,
A,c,"Hồ sơ mời quan tâm, hồ sơ mời sơ tuyển, hồ sơ mời thầu, hồ sơ yêu cầu không tuân thủ quy định của Luật này, quy định khác của pháp luật có liên quan dẫn đến nhà thầu được lựa chọn không đáp ứng yêu cầu để thực hiện gói thầu",,,,,
A,d,"Tổ chức, cá nhân khác ngoài nhà thầu trúng thầu thực hiện hành vi bị cấm dẫn đến sai lệch kết quả lựa chọn nhà thầu",,,,,
A,e,"Hủy thầu theo quy định tại khoản 5 Điều 42 của Luật Đấu thầu 2023 (sửa đổi, bổ sung theo Luật 57)",,,,,
A,f,Tất cả các trường hợp trên.,X,,"Điều 17 Luật Đấu thầu 2023; khoản 5 Điều 4 Luật 57 và sửa đổi, bổ sung theo Luật 90 ",,
Q,8,"Bảo đảm dự thầu là việc nhà thầu thực hiện một trong các biện pháp …… để bảo đảm trách nhiệm dự thầu của nhà thầu trong thời gian xác định theo yêu cầu của hồ sơ mời thầu, hồ sơ yêu cầu",,,,Dung,
A,a,Ký quỹ,,,,,
A,b,Đặt cọc,,,,,
A,c,Nộp thư bảo lãnh của tổ chức tín dụng hoặc chi nhánh ngân hàng nước ngoài được thành lập theo pháp luật Việt Nam,,,,,
A,d,"Nộp giấy chứng nhận bảo hiểm bảo lãnh của doanh nghiệp bảo hiểm phi nhân thọ trong nước, chi nhánh doanh nghiệp bảo hiểm phi nhân thọ nước ngoài được thành lập theo pháp luật Việt Nam",,,,,
A,e,Tất cả các trường hợp trên,,,,,
A,f,"Câu b,c,d đúng",X,,Điều 14 Luật Đấu thầu 2023,,
Q,9,Chào hàng cạnh tranh được áp dụng đối với gói thầu có giá gói thầu trong hạn mức theo quy định của Chính phủ thuộc một trong các trường hợp sau đây:,,,,Dung,Đổi câu hỏi mới 
A,a,"Gói thầu dịch vụ phi tư vấn thông dụng, đơn giản",,,,,
A,b,"Gói thầu mua sắm hàng hóa thông dụng, sẵn có trên thị trường với đặc tính kỹ thuật được tiêu chuẩn hóa và tương đương nhau về chất lượng",,,,,
A,c,Gói thầu xây lắp công trình đơn giản đã có thiết kế bản vẽ thi công được duyệt,,,,,
A,d,"Gói thầu hỗn hợp cung cấp hàng hóa và xây lắp, trong đó nội dung xây lắp đáp ứng quy định tại điểm c khoản này.",,,,,
A,e,Tất cả các đáp án trên đều đúng,X,,"Điều 24 Luật Đấu thầu 2023, sửa đổi, bổ sung theo Luật 90",,
Q,10,"Phương thức lựa chọn nhà thầu ""một giai đoạn hai túi hồ sơ"" được áp dụng trong trường hợp nào?",,,,Dung,Hiệu chỉnh đáp án 
A,a,"Đấu thầu rộng rãi, đấu thầu hạn chế đối với gói thầu cung cấp dịch vụ tư vấn.",,,,,
A,b,"Đấu thầu rộng rãi đối với gói thầu hỗn hợp tổ chức đấu thầu quốc tế quy định tại điểm b khoản 1 Điều 11, đấu thầu hạn chế đối với gói thầu quy định tại khoản 1 Điều 22 của Luật Đấu thầu (sửa đổi, bổ sung theo Luật 57)",,,,,
A,c,"Trường hợp chủ đầu tư tổ chức đấu thầu rộng rãi đối với gói thầu có yêu cầu sử dụng công nghệ hoặc sản phẩm thuộc Danh mục công nghệ cao được ưu tiên đầu tư phát triển, Danh mục sản phẩm công nghệ cao được khuyến khích phát triển, Danh mục công nghệ chiến lược và sản phẩm công nghệ chiến lược theo quy định của pháp luật về khoa học, công nghệ và đổi mới sáng tạo, pháp luật về công nghệ cao thì được áp dụng phương thức quy định tại Điều này",,,,,
A,d,Cả 3 đáp án trên đều đúng,X,,"Điều 31 Luật Đấu thầu 2023,  sửa đổi, bổ sung theo Luật 57, Luật 90",,
A,e,"Câu a,b đúng. Câu c sai",,,,,
Q,11,Tùy chọn mua thêm là 1 nội dung được bổ sung trong KHLCNT (bao gồm 8 nội dung). Vậy tùy chọn mua thêm được thực hiện khi đáp ứng các điều kiện nào sau đây?,,,,Dung,
A,a,"Nhà thầu đã trúng thầu thông qua đấu thầu rộng rãi, đàm phán giá",,,,,
A,b,Khối lượng mua thêm không vượt quá 30% của khối lượng hạng mục tương ứng nêu trong hợp đồng,,,,,
A,c,Có dự toán được duyệt đối với khối lượng mua thêm,,,,,
A,d,"Đơn giá của hàng hóa, dịch vụ mua thêm không được vượt đơn giá của các hàng hóa dịch vụ tương ứng trong hợp đồng",,,,,
A,e,Chỉ áp dụng trong thời gian có hiệu lực của hợp đồng,,,,,
A,f,Tất cả các câu trên đều đúng,X,,Điều 39 Luật Đấu thầu 2023,,
Q,12,"Quy trình, thủ tục lựa chọn nhà thầu nhà thầu đối với đấu thầu rộng rãi, đấu thầu hạn chế bao gồm",,X,,Dung,Hiệu chỉnh đáp án
A,a,"Chuẩn bị lựa chọn nhà thầu; Tổ chức lựa chọn nhà thầu; Đánh giá hồ sơ dự thầu;Thương thảo hợp đồng; Trình, thẩm định, phê duyệt, công khai KQLCNT và giải thích lý do nhà thầu không trúng thầu theo yêu cầu của nhà thầu (nếu có); Hoàn thiện, ký kết và quản lý thực hiện hợp đồng",,,,,
A,b,"Chuẩn bị lựa chọn nhà thầu; Tổ chức lựa chọn nhà thầu; Đánh giá hồ sơ dự thầu; Thương thảo hợp đồng; Trình, thẩm định, phê duyệt, công khai KQLCNT và giải thích lý do nhà thầu không trúng thầu theo yêu cầu của nhà thầu (nếu có); Hoàn thiện, ký kết và quản lý thực hiện hợp đồng. Đối với chỉ định thầu, trong quá trình thương thảo, hoàn thiện hợp đồng, chủ đầu tư và nhà thầu thương thảo về giá bảo đảm đề nghị trúng thầu tiết kiệm, hiệu quả kinh tế.",X,,"Điều 43 Luật Đấu thầu 2023, sửa đổi, bổ sung theo Luật 90",,
Q,13,Quy trình thủ tục lựa chọn nhà thầu đối với hình thức lựa chọn nhà thầu tự thực hiện bao gồm các bước?,,X,,Dung,Đổi câu hỏi mới 
A,a,"Chuẩn bị phương án tự thực hiện, bao gồm dự thảo thỏa thuận giao việc; Hoàn thiện phương án tự thực hiện; Phê duyệt và công khai kết quả lựa chọn nhà thầu.",,,,,
A,b,"Chuẩn bị phương án tự thực hiện, bao gồm dự thảo thỏa thuận giao việc; Hoàn thiện phương án tự thực hiện; Ký kết thỏa thuận giao việc; quản lý việc thực hiện gói thầu.",,,,,
A,c,"Chuẩn bị phương án tự thực hiện, bao gồm dự thảo thỏa thuận giao việc; Hoàn thiện phương án tự thực hiện; Phê duyệt và công khai kết quả lựa chọn nhà thầu; Ký kết thỏa thuận giao việc; quản lý việc thực hiện gói thầu",X,,Khoản 5 Điều 43  Luật Đấu thầu                        ,,
Q,14,Một số công việc trong quá trình tổ chức lựa chọn nhà thầu các mốc thời gian được quy định ra sao?,,,,Dung,Đổi câu hỏi mới 
A,a,Thời gian chuẩn bị HSDT được tính kể từ ngày đầu tiên HSMT được phát hành đến ngày có thời điểm đóng thầu,,,,,
A,b,HSMT được phát hành đồng thời với TBMT,,,,,
A,c,"Các công việc khác ngoài một số công việc có quy định thời gian tại Điều 45 Luật Đấu thầu 2023 (sửa đổi, bổ sung theo Luật 90/2025/QH15), Chủ đầu tư có trách nhiệm quyết định thời gian thực hiện trên cơ sở bảo đảm tiến độ của dự án, gói thầu",,,,,
A,d,"Câu a,b đúng;  Câu c sai",,,,,
A,e,Tất cả các đáp án trên đều đúng,X,,"Điều 45 Luật Đấu thầu 2023, sửa đổi, bổ sung theo Luật 90",,
Q,15,"Nội dung hồ sơ mời thầu đối với lựa chọn nhà thầu theo quy định tại Điều 44 Luật Đấu thầu 2023, sửa đổi, bổ sung theo Luật 90/2025/QH15 ?",,,,Dung,Đổi câu hỏi mới 
A,a,"Hồ sơ mời thầu bao gồm các yêu cầu cho gói thầu về chỉ dẫn nhà thầu, tiêu chuẩn đánh giá, dự thảo hợp đồng và các nội dung khác",,,,,
A,b,"Hồ sơ mời thầu được nêu xuất xứ theo nhóm nước, vùng lãnh thổ và tiêu chuẩn khác do Chính phủ quy định để bảo đảm chất lượng của hàng hóa, dịch vụ, công trình",,,,,
A,c,"Hồ sơ mời thầu không được nêu xuất xứ theo nhóm nước, vùng lãnh thổ và tiêu chuẩn khác do Chính phủ quy định để bảo đảm chất lượng của hàng hóa, dịch vụ, công trình",,,,,
A,d,Hồ sơ mời thầu không được nêu điều kiện dẫn đến làm hạn chế sự tham gia của nhà thầu hoặc nhằm tạo lợi thế cho một hoặc một số nhà thầu gây ra sự cạnh tranh không bình đẳng,,,,,
A,e,"Câu a, b, d đúng, câu c sai",X,,"Điều 44 Luật Đấu thầu 2023,  sửa đổi, bổ sung theo Luật 90",,
A,f,"Câu a, c, d đúng, câu b sai",,,,,
Q,16,Phương pháp nào không phải là phương pháp đánh giá hồ sơ dự thầu đối với gói thầu cung cấp dịch vụ tư vấn,,X,,Dung,
A,a,Phương pháp giá thấp nhất,,,,,
A,b,Phương pháp giá cố định,,,,,
A,c,Phương pháp giá đánh giá,X,,Điều 59 Luật Đấu thầu 2023,,
A,d,Phương pháp kết hợp giữa kỹ thuật và giá,,,,,
Q,17,"Nhà thầu tư vấn là cá nhân được xem xét, đề nghị trúng thầu khi đáp ứng các điều kiện nào sau đây?",,,,Dung,
A,a,Đáp ứng đầy đủ tư cách hợp lệ quy định tại Điều 5 Luật Đấu thầu 2023,,,,,
A,b,Có hồ sơ lý lịch khoa học đáp ứng yêu cầu,,,,,
A,c,Đề xuất kỹ thuật (nếu có) tốt nhất và đáp ứng yêu cầu của điều khoản tham chiếu,,,,,
A,d,Có giá đề nghị trúng thầu không vượt giá gói thầu được phê duyệt,,,,,
A,e,Tất cả các câu trên đều đúng,X,,Điều 60 Luật Đấu thầu 2023,,
Q,18,Phương thức một giai đoạn một túi hồ sơ được áp dụng trong các trường hợp sau đây:,,,,Dung,Hiệu chỉnh đáp án 
A,a,"Đấu thầu rộng rãi, đấu thầu hạn chế đối với gói thầu cung cấp dịch vụ phi tư vấn, mua sắm hàng hóa, xây lắp, hỗn hợp.Trường hợp gói thầu đáp ứng quy định tại điểm b, điểm c khoản 1 và khoản 1a Điều 31 của Luật Đấu thầu 2023 (sửa đổi, bổ sung theo Luật 90/2025/QH15) thì được lựa chọn áp dụng phương thức một giai đoạn một túi hồ sơ hoặc một giai đoạn hai túi hồ sơ",,,,,
A,b,"Chào hàng cạnh tranh đối với gói thầu cung cấp dịch vụ phi tư vấn, mua sắm hàng hóa, xây lắp, gói thầu hỗn hợp cung cấp hàng hóa và xây lắp",,,,,
A,c,"Chỉ định thầu đối với gói thầu cung cấp dịch vụ tư vấn, dịch vụ phi tư vấn, mua sắm hàng hóa, xây lắp, hỗn hợp",,,,,
A,d,Mua sắm trực tiếp đối với gói thầu mua sắm hàng hóa,,,,,
A,e,Tất cả các trường hợp trên,X,,Khoản 1 Điều 30 Luật Đấu thầu 2023; khoản 9 Điều 4 Luật 57,,
Q,19,Chọn đáp án đúng về các nội dung cơ bản của kế hoạch lựa chọn nhà thầu:,,X,,Dung,Hiệu chỉnh đáp án 
A,a,Tên gói thầu; giá gói thầu; hình thức và phương thức lựa chọn nhà thầu; thời gian bắt đầu tổ chức lựa chọn nhà thầu; loại hợp đồng; thời gian thực hiện hợp đồng,,,,,
A,b,Tên gói thầu; giá gói thầu; nguồn vốn; hình thức và phương thức lựa chọn nhà thầu; thời gian bắt đầu tổ chức lựa chọn nhà thầu; loại hợp đồng,,,,,
A,c,Tên gói thầu; giá gói thầu; nguồn vốn; hình thức và phương thức lựa chọn nhà thầu; thời gian bắt đầu tổ chức lựa chọn nhà thầu; loại hợp đồng; thời gian thực hiện hợp đồng; tùy chọn mua thêm (nếu có).,X,,"Điều 39 Luật Đấu thầu 2023,  sửa đổi, bổ sung theo Luật 90",,
A,d,Tên gói thầu; giá gói thầu; nguồn vốn; hình thức và phương thức lựa chọn nhà thầu; thời gian bắt đầu tổ chức lựa chọn nhà thầu; thời gian đánh giá thầu; loại hợp đồng; thời gian thực hiện hợp đồng,,,,,
Q,20,Hạn mức chỉ định thầu quy định tại Điều 78 Nghị định 214/2025/NĐ-CP?,,,,Dung,Đổi câu hỏi mới
A,a,"Không quá 300 triệu đồng đối với gói thầu thuộc dự toán mua sắm không hình thành dự án; Không quá 500 triệu đồng đối với gói thầu cung cấp dịch vụ tư vấn,, dịch vụ công; không quá 01 tỷ đồng đối với gói thầu dịch vụ phi tư vấn, hàng hóa, xây lắp, hỗn hợp thuộc dự án",,,,,
A,b,"Không quá 500 triệu đồng đối với gói thầu thuộc dự toán mua sắm không hình thành dự án; Không quá 800 triệu đồng đối với gói thầu cung cấp dịch vụ tư vấn,, dịch vụ công; không quá 02 tỷ đồng đối với gói thầu dịch vụ phi tư vấn, hàng hóa, xây lắp, hỗn hợp thuộc dự án",X,,Khoản 4 Điều 78 Nghị định 214/2025/NĐ-CP,,
A,c,Không có đáp án nào đúng,,,,,
Q,21,"Theo quy định của Nghị định 214/2025/NĐ-CP,  việc lựa chọn nhà thầu qua mạng áp dụng đối với toàn bộ (100%) gói thầu trừ trường hợp:",,X,,Dung,Đổi câu hỏi mới 
A,a,Gói thầu hỗn hợp,,,,,
A,b,Đấu thầu hạn chế,,,,,
A,c,Đấu thầu quốc tế,X,,Điều 98 Nghị định 214/2025/NĐ-CP,,
Q,22,Mua sắm trực tiếp được thực hiện khi đáp ứng đủ các điều kiện sau đây:,,,,Toàn,
A,a,Nhà thầu đã trúng thầu thông qua đấu thầu rộng rãi hoặc đấu thầu hạn chế và đã ký hợp đồng thực hiện gói thầu trước đó,,,,,
A,b,"Chủ đầu tư chỉ được áp dụng mua sắm trực tiếp một lần đối với các loại hàng hóa thuộc gói thầu và khối lượng từng hạng mục công việc nhỏ hơn 130% so với khối lượng hạng mục tương ứng thuộc gói thầu đã ký hợp đồng trước đó, không bao gồm khối lượng của tùy chọn mua thêm (nếu có)",,,,,
A,c,"Đơn giá của các phần việc thuộc gói thầu áp dụng mua sắm trực tiếp không được vượt đơn giá của các phần việc tương ứng thuộc gói thầu tương tự đã ký hợp đồng trước đó, đồng thời, phù hợp với giá thị trường tại thời điểm hoàn thiện hợp đồng",,,,,
A,d,Thời gian từ khi ký hợp đồng của gói thầu trước đó đến ngày phê duyệt kết quả mua sắm trực tiếp không quá 12 tháng,,,,,
A,e,Đáp án khác,,,,,
A,f,"Đáp án a, b, c và d đúng.",X,,"Điều 25, khoản 2 Luật Đấu thầu 2023",,
Q,23,Quy trình chào hàng cạnh tranh gồm:,,,,Toàn,
A,a,"Chuẩn bị lựa chọn nhà thầu; đánh giá hồ sơ đề xuất và thương thảo hợp đồng; trình, thẩm định, phê duyệt và công khai kết quả lựa chọn nhà thầu; hoàn thiện, ký kết hợp đồng",,,,,
A,b,"Tổ chức lựa chọn nhà thầu; đánh giá hồ sơ đề xuất và thương thảo hợp đồng; trình, thẩm định, phê duyệt và công khai kết quả lựa chọn nhà thầu; hoàn thiện, ký kết hợp đồng",,,,,
A,c,"Chuẩn bị lựa chọn nhà thầu; tổ chức lựa chọn nhà thầu; đánh giá hồ sơ dự thầu; trình, thẩm định phê duyệt, công khai kết quả lựa chọn nhà thầu và giải thích lý do nhà thầu không trúng thầu theo yêu cầu của nhà thầu (nếu có); hoàn thiện, ký kết và quản lý thực hiện hợp đồng.",X,,"Điều 43, khoản 3 Luật Đấu thầu 2023",,
A,d," Chuẩn bị lựa chọn nhà thầu; tổ chức lựa chọn nhà thầu; đánh giá hồ sơ đề xuất và thương thảo hợp đồng; hoàn thiện, ký kết hợp đồng",,,,,
Q,24,Đối với gói thầu xây lắp có giá gói thầu chỉ cho phép nhà thầu là doanh nghiệp cấp nhỏ và siêu nhỏ theo quy định của pháp luật về doanh nghiệp tham gia đấu thầu:,,,,Toàn,
A,a,Không quá 5 tỷ đồng,X,,"Điều 10, khoản 2, điểm đ Luật Đấu thầu 2023",,
A,b,Không quá 10 tỷ đồng,,,,,
A,c,Không quá 15 tỷ đồng,,,,,
A,d,Không quá 20 tỷ đồng,,,,,
Q,25,"Tìm phát biểu đúng về nguyên tắc xét duyệt trúng thầu đối với đấu thầu phi tư vấn, hàng hóa, xây lắp, hỗn hợp, trong các câu dưới đây:",,,,Toàn,
A,a,Có giá trị phần sai lệch không quá 10% giá dự thầu,,,,,
A,b,Có giá trị phần sai lệch thiếu không quá 10% giá dự thầu.,X,,"Điều 61, khoản 1, điểm d Luật Đấu thầu 2023",,
A,c,Có sai lệch thiếu không quá 10% giá gói thầu,,,,,
A,d,Có lỗi số học và sai lệch không quá 10% giá gói thầu,,,,,
Q,26,"Đối với gói thầu cung cấp dịch vụ tư vấn, dịch vụ phi tư vấn, mua sắm hàng hóa, xây lắp, hỗn hợp áp dụng quy trình chỉ định thầu thì phần phương thức LCNT trong kế hoạch LCNT được ghi như thế nào?",,,,Toàn,
A,a,Bỏ trống,,,,,
A,b,Một giai đoạn 1 túi hồ sơ,X,,"Điều 30, khoản 1, điểm c Luật Đấu thầu 2023",,
A,c,Một giai đoạn 2 túi hồ sơ,,,,,
A,d,Đáp án khác,,,,,
Q,27,"Trường hợp hủy thầu, hồ sơ liên quan được lưu giữ trong khoảng thời gian bao lâu, kể từ khi ban hành quyết định hủy thầu:",,,"Điều 9, khoản 4 Luật Đấu thầu 2023",Toàn,
A,a,3 năm,,,,,
A,b,12 tháng,,,,,
A,c,5 năm,X,,"Điều 9, khoản 4 Luật Đấu thầu 2023",,
A,d,Cả vòng đời dự án,,,,,
Q,28,Trách nhiệm của Tổ thẩm định là?,,,,Dung,Hiệu chỉnh đáp án 
A,a,"Hoạt động độc lập, khách quan khi tiến hành thẩm định",,,,,
A,b,"Yêu cầu chủ đầu tư, bên mời thầu, tổ chuyên gia cung cấp đầy đủ tài liệu liên quan",,,,,
A,c,"Bảo mật thông tin, tài liệu liên quan trong quá trình thẩm định",,,,,
A,d,"Cung cấp thông tin, tài liệu liên quan và giải trình việc thực hiện trách nhiệm quy định tại Điều này theo yêu cầu của người có thẩm quyền, chủ đầu tư, cơ quan thanh tra, kiểm tra, cơ quan quản lý nhà nước về hoạt động đấu thầu",,,,,
A,e,"Chịu trách nhiệm trước pháp luật, người có thẩm quyền, chủ đầu tư về kết quả thẩm định và các công việc được giao theo quy định tại Điều này.",,,,,
A,f,Tất cả đều đúng.,X,,"Điều 81 Luật Đấu thầu 2023, sửa đổi, bổ sung theo Luật 90",,
Q,29,Một trong các trách nhiệm của Tổ chuyên gia được bổ sung theo Luật 90/2025/QH15 ? ,,,,Dung,Hiệu chỉnh đáp án 
A,a,"Lập hồ sơ mời quan tâm, hồ sơ mời sơ tuyển, hồ sơ mời thầu, hồ sơ yêu cầu",,,,,
A,b,"Trình duyệt hồ sơ mời sơ tuyển, hồ sơ mời quan tâm, hồ sơ quan tâm, hồ sơ mời thầu, kết quả lựa chọn danh sách ngắn, kết quả lựa chọn nhà thầu",,,,,
A,c,"Trung thực, khách quan trong triển khai thực hiện nhiệm vụ",,,,,
A,d,"Câu b,c đúng",X,,"Điều 80 Luật Đấu thầu 2023, sửa đổi bổ sung theo Luật 90",,
A,e,Tất cả các đáp án trên đều đúng,,,,,
Q,30,"Điều kiện Nhà thầu cung cấp phi tư vấn, mua sắm hàng hóa, xây lắp, hỗn hợp được xem xét, đề nghị trúng thầu?",,,,Dung,Đổi câu hỏi mới 
A,a,"Đối với phương pháp giá thấp nhất: có giá dự thầu sau sửa lỗi, hiệu chỉnh sai lệch (nếu có), trừ đi giá trị giảm giá (nếu có) thấp nhất; đối với phương pháp giá đánh giá: có giá đánh giá thấp nhất; đối với phương pháp kết hợp giữa kỹ thuật và giá: có điểm tổng hợp cao nhất; đối với phương pháp dựa trên kỹ thuật: có điểm kỹ thuật cao nhất;       ",,,,,
A,b,"Có giá đề nghị trúng thầu không vượt giá gói thầu được phê duyệt. Đối với gói thầu xây lắp, trường hợp nhà thầu chào giá dự thầu thấp bất thường so với giá gói thầu, chủ đầu tư yêu cầu nhà thầu giải trình, làm rõ tính khả thi, hợp lý của giá dự thầu đã chào để làm cơ sở đánh giá đáp ứng hoặc loại bỏ hồ sơ dự thầu theo quy định của Chính phủ",,,,,
A,c,Cả 2 đáp án trên đều đúng,X,,"Điều 61 Luật Đấu thầu 2023, sửa đổi, bổ sung theo Luật 90",,
Q,31,"Thời hạn áp dụng thỏa thuận khung được quy định trong kế hoạch lựa chọn nhà thầu, có thời hạn bao lâu?",,,,Oanh,
A,a,Không quá 12 tháng,,,,,
A,b,Không quá 24 tháng,,,,,
A,c,Không quá 36 tháng,X,,"Điều 54, khoản 3 Luật Đấu thầu 2023",,
A,d,Không quá 48 tháng,,,,,
Q,32,"Phương pháp đánh giá hồ sơ dự thầu đối với gói thầu cung cấp dịch vụ phi tư vấn, mua sắm hàng hóa, xây lắp, hỗn hợp",,,,Oanh,
A,a,Phương pháp giá thấp nhất,,,,,
A,b,Phương pháp giá đánh giá,,,,,
A,c,Phương pháp kết hợp giữa kỹ thuật và giá,,,,,
A,d,Tất cả các trường hợp trên,X,,"Điều 58, khoản 1, 2, 3 Luật Đấu thầu 2023",,
Q,33,Phương pháp đánh giá hồ sơ dự thầu đối với gói thầu cung cấp dịch vụ tư vấn,,,,Oanh,
A,a,Phương pháp giá thấp nhất,,,,,
A,b,Phương pháp giá cố định,,,,,
A,c,Phương pháp kết hợp giữa kỹ thuật và giá,,,,,
A,d,Phương pháp dựa trên kỹ thuật,,,,,
A,e,Tất cả các trường hợp trên,X,,Điều 59 Luật Đấu thầu 2023,,
Q,34,Loại hợp đồng với nhà thầu theo quy định của Luật đấu thầu:,,,,Oanh,
A,a,"Hợp đồng trọn gói, hợp đồng theo đơn giá cố định, hợp đồng theo đơn giá điều chỉnh, hợp đồng theo thời gian, Hợp đồng theo chi phí cộng phí, Hợp đồng theo kết quả đầu ra, Hợp đồng theo tỷ lệ phần trăm, Hợp đồng hỗn hợp",X,,Điều 64 Luật Đấu thầu 2023,,
A,b,"Hợp đồng trọn gói, hợp đồng theo đơn giá cố định, hợp đồng theo đơn giá điều chỉnh, hợp đồng theo thời gian; Hợp đồng song vụ, Hợp đồng theo kết quả đầu ra, Hợp đồng có điều kiện, Hợp đồng theo tỷ lệ phần trăm",,,,,
Q,35,"Hoạt động chi tiêu mua sắm hàng hóa, dịch vụ thông dụng, sẵn có trên thị trường có giá trị không quá 50 triệu đồng một lần mua có thể áp dụng hình thức lựa chọn nhà thầu nào tối ưu nhất?",,X,,Dung,Đổi câu hỏi mới 
A,a,Đặt hàng,,,,,
A,b,Ký hợp đồng trực tiếp,,,,,
A,c,Mua sắm nhỏ lẻ,X,,Quyết định 68/QĐ-HĐTV ngày 26/5/2025,,
Q,36,Một trong trách nhiệm của nhà thầu vừa được Luật 90/2025/QH15 bổ sung là?,,,,Dung,Đổi câu hỏi mới 
A,a,Trang bị cơ sở hạ tầng về công nghệ thông tin khi tham gia đấu thầu qua mạng,,,,,
