Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
A,Chuyên nghiệp,,,,
A,Hợp tác,,,,
A,Nghĩa tình,,,,
A,Tất cả các phương án trên.,X,,,
Q,Đâu là các nguyên tắc trong thực thi VHDN EVN,,,,
A,Nguyên tắc thứ nhất: Đã là EVN thì chất lượng và đáng tin cậy,,,,
A,Nguyên tắc thứ hai: Thực hiện công việc được giao và chịu trách nhiệm đến kết quả cuối cùng,,,,
A,Nguyên tắc thứ ba: Sức mạnh trong mọi hoạt động của EVN là tinh thần đoàn kết và trí tuệ tập thể,,,,
A,Nguyên tắc thứ tư: Có cá nhân xuất sắc mới có tập thể sáng tạo,,,,
A,Nguyên tắc thứ năm: Lãnh đạo phải làm gương,,,,
A,Cả 05 nguyên tắc trên,X,,,
Q,Sổ tay Chuẩn mực hành vi ứng xử EVNHCMC dành cho các đối tượng nào:,,,,Mới bổ sung
A,"Cán bộ quản lý, Nhân viên giao tiếp khách hàng, Nhân viên văn phòng",,,,
A,"Cán bộ quản lý, Công nhân điện, Nhân viên giao tiếp khách hàng",,,,
A,"Công nhân điện, Nhân viên giao tiếp khách hàng, Nhân viên văn phòng",,,,
A,"Cán bộ quản lý, Công nhân điện, Nhân viên giao tiếp khách hàng, Nhân viên văn phòng",X,,,
Q,Sổ tay Chuẩn mực hành vi ứng xử EVNHCMC dành cho bao nhiêu đối tượng:,,,,Mới bổ sung
A,4,X,,,
A,5,,,,
A,6,,,,
A,7,,,,
Q,"Mỗi cuốn Sổ tay Chuẩn mực hành vi ứng xử của EVNHCMC dành cho từng đối tượng—cán bộ quản lý, công nhân điện, nhân viên giao tiếp khách hàng và nhân viên văn phòng—được cấu trúc thành bao nhiêu phần",,,,Mới bổ sung
A,5,,,,
A,4,,,,
A,3,,,,
A,2,X,,,
Q,"Trong Sổ tay Chuẩn mực hành vi ứng xử, các chuẩn mực ứng xử chung được chia thành bao nhiêu chương",,,,Mới bổ sung
A,7,,,,
A,6,X,,,
A,5,,,,
A,4,,,,
Q,Các tài liệu nào dưới đây có liên quan đến Sổ tay Chuẩn mực hành vi ứng xử của EVNHCMC:,,,,Mới bổ sung
A,"Tài liệu Văn hoá EVN, Tài liệu Phong cách lãnh đạo EVNHCMC",,,,
A,"Bộ Quy tắc ứng xử EVN, Tài liệu Phong cách lãnh đạo EVNHCMC",,,,
A,"Tài liệu Văn hoá EVN, Bộ Quy tắc ứng xử EVN, Tài liệu Phong cách lãnh đạo EVNHCMC",X,,,
A,"Tài liệu Văn hoá EVN, Bộ Quy tắc ứng xử EVN",,,,
Q,"Trong Phần “Các chuẩn mực hành vi ứng xử chung” của Sổ tay Bộ chuẩn mực hành vi ứng xử EVNHCMC, nội dung “Tuân thủ pháp luật và chuẩn mực đạo đức nghề nghiệp” được quy định tại chương nào",,,,Mới bổ sung
A,Chương I: Tuân thủ pháp luật và các chuẩn mực đạo đức nghề nghiệp,X,,,
A,Chương II: Thực thi tốt các quy tắc ứng xử chung,,,,
A,Chương III: Các chuẩn mực ứng xử và làm việc nội bộ,,,,
A,Chương V: Ứng xử với khách hàng và đối tác,,,,
Q,"Trong Phần “Các chuẩn mực hành vi ứng xử chung” của Sổ tay Bộ chuẩn mực hành vi ứng xử EVNHCMC, nội dung “Đặt con người ở vị trí trung tâm trong mọi hoạt động” được quy định tại chương nào",,,,Mới bổ sung
A,Chương I: Tuân thủ pháp luật và các chuẩn mực đạo đức nghề nghiệp,,,,
A,Chương II: Thực thi tốt các quy tắc ứng xử chung,,,,
A,Chương IV: Ứng xử với các cơ quan cấp trên và địa phương,,,,
A,Chương V: Ứng xử với khách hàng và đối tác,X,,,
